0;1;2;3;4;5
"Segurança de vacina da Pfizer para crianças foi atestada pelo CDC; monitoramento de longo prazo é padrão";Esta checagem foi produzida por jornalistas da coalizão do Comprova. Leia mais sobre nossa parceria aqui. Conteúdo verificado: Sequência;10;11;2021;https://politica.estadao.com.br/blogs/estadao-verifica/seguranca-vacina-pfizer-criancas/
Saudade até das más lembranças;“Cadê as fotos dos pratos?”, cobra um amigo. “Por que você não posta mais os quitutes? Parou de cozinhar?”, pergunta outro. Pois é, criei a “fama”;10;4;2021;https://sao-paulo.estadao.com.br/blogs/haisem-abaki/saudade-ate-das-mas-lembrancas/
Não há relação entre casos de mal súbito em atletas e vacinas contra covid;Esta checagem foi produzida por jornalistas da coalizão do Comprova. Leia;19;11;2021;https://politica.estadao.com.br/blogs/estadao-verifica/atletas-mal-subito-vacina/
Retomada do emprego e inflação na economia global;A pandemia da Covid-19 provocou uma queda sem precedentes no número de;4;11;2021;https://economia.estadao.com.br/blogs/fernando-dantas/retomada-do-emprego-e-inflacao-na-economia-global/
Pandemia escancarou a importância das parcerias;Tati Oliva. FOTO: DIVULGAÇÃO O futuro pertence a quem sabe fazer parcerias. Na economia, essa tendência;29;5;2021;https://politica.estadao.com.br/blogs/fausto-macedo/pandemia-escancarou-a-importancia-das-parcerias/
Confira os deputados que votaram a favor e os que votaram contra o voto impresso;BRASÍLIA - A Proposta de Emenda à Constituição (PEC);10;8;2021;https://politica.estadao.com.br/noticias/geral,confira-os-deputados-que-votaram-a-favor-e-os-que-votaram-contra-o-voto-impresso,70003807122
As lições para a gestão de pessoas no pós-pandemia;"Tiago Alves. FOTO: MIKE BONFIM Com a pandemia, observamos uma necessidade de reorganização das empresas, tanto do prisma prático, quanto do organizacional e de negócios; e isso só foi possível com o envolvimento";30;9;2021;https://politica.estadao.com.br/blogs/fausto-macedo/as-licoes-para-a-gestao-de-pessoas-no-pos-pandemia/
Machismo estrutural aplicado ao direito das mulheres;Celeste Leite dos Santos. FOTO: DIVULGAÇÃO Apesar da evolução da sociedade os direitos das mulheres;8;3;2021;https://politica.estadao.com.br/blogs/fausto-macedo/machismo-estrutural-aplicado-ao-direito-das-mulheres/
A corrida dos criptoativos diante da pandemia;Daniel Coquieri. Foto: Divulgação Não é novidade que o coronavírus tem impactado grande parte dos setores da economia.;1;7;2020;https://politica.estadao.com.br/blogs/fausto-macedo/a-corrida-dos-criptoativos-diante-da-pandemia/
Como comprar material escolar sem estourar o orçamento familiar?;Conrado Navarro. FOTO: DIVULGAÇÃO Com as aulas quase recomeçando, chega aquele momento tão esperado pelos pequenos,;22;1;2020;https://politica.estadao.com.br/blogs/fausto-macedo/como-comprar-material-escolar-sem-estourar-o-orcamento-familiar/
Eles não tomaram vacina. Tiveram covid e se arrependeram;SAIBA MAIS SOROCABA, SÃO PAULO E SALVADOR - Primeiro, eles recusaram a vacina contra a covid-19, movidos;27;8;2021;https://saude.estadao.com.br/noticias/geral,eles-nao-tomaram-vacina-tiveram-covid-e-se-arrependeram,70003823349
Funcionários podem pôr marcas em risco nas redes sociais;Não olhe agora, mas os seus funcionários podem estar falando com os seus clientes sem você saber. Pior que isso: sem qualquer orientação, podem estragar a imagem do seu negócio.;27;7;2020;https://brasil.estadao.com.br/blogs/macaco-eletrico/funcionarios-podem-por-marcas-em-risco-nas-redes-sociais/
Com que máscara eu vou?;– Oi… Oi. Alô? Você tá me escutando? – Oi, amor. Tô, sim. E você me ouve? – Sim. Dá pra ver direitinho;22;2;2021;https://sao-paulo.estadao.com.br/blogs/luiz-henrique-matos/com-que-mascara-eu-vou/
Mamãefalei: “Bolsonaro não é de direita”;;13;3;2020;https://brasil.estadao.com.br/blogs/inconsciente-coletivo/mamaefalei-bolsonaro-nao-e-de-direita/
‘Precisamos nos enxergar como povo negro’, diz Seu Jorge sobre racismo estrutural;Seu Jorge. Foto: Leo Lima Morador dos Estados Unidos, Seu Jorge está desde o início da pandemia em SP, onde também mantém uma casa. De passagem pela capital paulista no;30;11;2020;https://cultura.estadao.com.br/blogs/direto-da-fonte/precisamos-nos-enxergar-como-povo-negro-diz-seu-jorge-sobre-racismo-estrutural/
‘Países agem de forma isolada na pandemia’, afirma Dimas Covas;Dimas Covas. Foto: MISTER SHADOW/ASI Não há dúvidas de que o ano ainda será muito difícil em termos quantitativos;28;3;2021;https://cultura.estadao.com.br/blogs/direto-da-fonte/paises-agiram-de-forma-isolada-na-pandemia-afirma-dimas-covas/
Por que governos prometeram antecipar calendários de vacinação contra covid?;SAIBA MAIS Os adiantamentos de cronograma;22;6;2021;https://saude.estadao.com.br/noticias/geral,por-que-governos-prometeram-antecipar-calendarios-de-vacinacao-contra-covid,70003754601
Protágoras e os meios de comunicação;Antoine Abed. FOTO: DIVULGAÇÃO São nos momentos de crise que percebemos a importância;14;2;2021;https://politica.estadao.com.br/blogs/fausto-macedo/protagoras-e-os-meios-de-comunicacao/
Como agir com os idosos durante a pandemia de coronavírus;SAIBA MAIS Os idosos formam o grupo que corre mais risco de desenvolver as complicações do novo coronavírus,;7;4;2020;https://saude.estadao.com.br/noticias/geral,como-agir-com-os-idosos-durante-a-pandemia-de-coronavirus,70003262723
Mais vacina e menos foro privilegiado;Alvaro Dias. FOTO: THATI A. MARTINS Pelo calendário gregoriano, há quase dois meses viramos o ano, mas, de alguma forma, continuamos presos a 2020. Esperávamos que, pela fé ou por crenças típicas de anos que se iniciam, o coronavírus sumiria do mapa em 2021. Isso, infelizmente,;22;2;2021;https://politica.estadao.com.br/blogs/fausto-macedo/mais-vacina-e-menos-foro-privilegiado/
Da responsabilidade penal do presidente da República no combate à covid-19;Marcelo Válio. FOTO: DIVULGAÇÃO Compete ao presidente da República exercer seu;19;1;2021;https://politica.estadao.com.br/blogs/fausto-macedo/da-responsabilidade-penal-do-presidente-da-republica-no-combate-a-covid-19/
“Talvez fiquemos até mais egoístas pós-pandemia”, avalia Fábio Porchat;FÁBIO PORCHAT – FOTO: PEDRO DIMITROW Os entrevistados são dos mais;15;6;2020;https://cultura.estadao.com.br/blogs/direto-da-fonte/talvez-fiquemos-ate-mais-egoistas-pos-pandemia-avalia-fabio-porchat/
