0;1;2;3;4;5
"Segurança de vacina da Pfizer para crianças foi atestada pelo CDC; monitoramento de longo prazo é padrão";chec produz jornal coaliz comprov lei sobr parc aqu cont verific sequ nci;10;11;2021;https://politica.estadao.com.br/blogs/estadao-verifica/seguranca-vacina-pfizer-criancas/
Saudade até das más lembranças;cad fot prat cobr amig voc post quitut par cozinh pergunt outr poi cri fam;10;4;2021;https://sao-paulo.estadao.com.br/blogs/haisem-abaki/saudade-ate-das-mas-lembrancas/
Não há relação entre casos de mal súbito em atletas e vacinas contra covid;chec produz jornal coaliz comprov lei;19;11;2021;https://politica.estadao.com.br/blogs/estadao-verifica/atletas-mal-subito-vacina/
Retomada do emprego e inflação na economia global;pandem covid <number> provoc qued preced mer;4;11;2021;https://economia.estadao.com.br/blogs/fernando-dantas/retomada-do-emprego-e-inflacao-na-economia-global/
Pandemia escancarou a importância das parcerias;tat oliv fot divulg futur pertenc sab faz parc econom tend nci;29;5;2021;https://politica.estadao.com.br/blogs/fausto-macedo/pandemia-escancarou-a-importancia-das-parcerias/
Confira os deputados que votaram a favor e os que votaram contra o voto impresso;bra lia propost emend constitu pec;10;8;2021;https://politica.estadao.com.br/noticias/geral,confira-os-deputados-que-votaram-a-favor-e-os-que-votaram-contra-o-voto-impresso,70003807122
As lições para a gestão de pessoas no pós-pandemia;tiag alv fot mik bonfim pandem observ necess reorganiz empr tant prism pr tic quant organizac neg cio pos vel envolv;30;9;2021;https://politica.estadao.com.br/blogs/fausto-macedo/as-licoes-para-a-gestao-de-pessoas-no-pos-pandemia/
Machismo estrutural aplicado ao direito das mulheres;cel leit sant fot divulg apes evolu sociedad direit mulh;8;3;2021;https://politica.estadao.com.br/blogs/fausto-macedo/machismo-estrutural-aplicado-ao-direito-das-mulheres/
A corrida dos criptoativos diante da pandemia;daniel coquier fot divulg novidad coronav ru impact grand part set econom;1;7;2020;https://politica.estadao.com.br/blogs/fausto-macedo/a-corrida-dos-criptoativos-diante-da-pandemia/
Como comprar material escolar sem estourar o orçamento familiar?;conr navarr fot divulg aul quas recom and cheg moment esper pequen;22;1;2020;https://politica.estadao.com.br/blogs/fausto-macedo/como-comprar-material-escolar-sem-estourar-o-orcamento-familiar/
Eles não tomaram vacina. Tiveram covid e se arrependeram;saib sorocab paul salv prim recus vacin contr covid <number> mov;27;8;2021;https://saude.estadao.com.br/noticias/geral,eles-nao-tomaram-vacina-tiveram-covid-e-se-arrependeram,70003823349
Funcionários podem pôr marcas em risco nas redes sociais;olh agor funcion rio pod est fal client voc sab pi qualqu orient pod estrag imag neg cio;27;7;2020;https://brasil.estadao.com.br/blogs/macaco-eletrico/funcionarios-podem-por-marcas-em-risco-nas-redes-sociais/
Com que máscara eu vou?;oi oi al voc escut oi am sim voc ouv sim pra ver direit;22;2;2021;https://sao-paulo.estadao.com.br/blogs/luiz-henrique-matos/com-que-mascara-eu-vou/
Mamãefalei: “Bolsonaro não é de direita”;;13;3;2020;https://brasil.estadao.com.br/blogs/inconsciente-coletivo/mamaefalei-bolsonaro-nao-e-de-direita/
‘Precisamos nos enxergar como povo negro’, diz Seu Jorge sobre racismo estrutural;jorg fot leo lim mor est unid jorg est desd in cio pandem sp ond tamb mant cas pass capit paul;30;11;2020;https://cultura.estadao.com.br/blogs/direto-da-fonte/precisamos-nos-enxergar-como-povo-negro-diz-seu-jorge-sobre-racismo-estrutural/
‘Países agem de forma isolada na pandemia’, afirma Dimas Covas;dim cov fot mist shadow asi vid ano aind ser dif cil term quantit;28;3;2021;https://cultura.estadao.com.br/blogs/direto-da-fonte/paises-agiram-de-forma-isolada-na-pandemia-afirma-dimas-covas/
Por que governos prometeram antecipar calendários de vacinação contra covid?;saib adiant cronogram;22;6;2021;https://saude.estadao.com.br/noticias/geral,por-que-governos-prometeram-antecipar-calendarios-de-vacinacao-contra-covid,70003754601
Protágoras e os meios de comunicação;antoin abed fot divulg moment cris perceb import nci;14;2;2021;https://politica.estadao.com.br/blogs/fausto-macedo/protagoras-e-os-meios-de-comunicacao/
Como agir com os idosos durante a pandemia de coronavírus;saib idos form grup corr risc desenvolv compl es nov coronav ru;7;4;2020;https://saude.estadao.com.br/noticias/geral,como-agir-com-os-idosos-durante-a-pandemia-de-coronavirus,70003262723
Mais vacina e menos foro privilegiado;alvar dia fot that martim calend rio gregori quas doi mes vir ano algum form continu pres <number> esp vam cren pic ano inic coronav ru sum map <number> infeliz;22;2;2021;https://politica.estadao.com.br/blogs/fausto-macedo/mais-vacina-e-menos-foro-privilegiado/
